"number";"player";"team";"apps";"min";"goals";"a";"xG";"xA";"xG90";"xA90"
534;"Djordje Petrovic";"Chelsea";23;1982;0;0;0;0;0;0
535;"Deivid Washington";"Chelsea";2;7;0;0;0.13;0;1.61;0
536;"Brandon Aguilera";"Nottingham Forest";1;1;0;0;0;0;0;0
537;"Enso González";"Wolverhampton Wanderers";1;1;0;0;0;0;0;0
538;"Alex Matos";"Chelsea";1;1;0;0;0;0;0;0
539;"Mike Trésor";"Burnley";16;384;0;0;0.66;0.65;0.16;0.15
540;"Jamie Donley";"Tottenham";3;3;0;0;0;0;0;0
541;"Murillo";"Nottingham Forest";32;2813;0;2;1.67;1.22;0.05;0.04
542;"Matheus França";"Crystal Palace";10;197;0;1;0.29;0.86;0.13;0.39
543;"Ryan Oné";"Sheffield United";1;4;0;0;0;0;0;0
544;"Zack Nelson";"Luton";2;2;0;0;0;0;0;0
545;"Ben Parkinson";"Newcastle United";1;18;0;0;0;0;0;0
546;"Alex Murphy";"Newcastle United";2;5;0;0;0;0;0;0
547;"Amadou Diallo";"Newcastle United";1;1;0;0;0;0;0;0
548;"Benicio Baker-Boaitey";"Brighton";5;22;0;0;0.02;0.1;0.08;0.39
549;"Mark O’Mahony";"Brighton";3;64;0;0;0.07;0;0.1;0
550;"Michael Ndiweni";"Newcastle United";1;1;0;0;0;0;0;0
551;"Tawanda Chirewa";"Wolverhampton Wanderers";8;129;0;0;0.11;0.02;0.08;0.01
552;"Sydie Peck";"Sheffield United";1;6;0;0;0;0;0;0
553;"Willy Kambwala";"Manchester United";8;318;0;0;0;0;0;0
554;"Rhys Norrington-Davies";"Sheffield United";5;107;0;0;0;0.03;0;0.02
555;"Omari Forson";"Manchester United";4;62;0;1;0.05;0.13;0.07;0.19
556;"Daniel Muñoz";"Crystal Palace";16;1440;0;4;1.76;3.09;0.11;0.19
557;"Adam Wharton";"Crystal Palace";16;1333;0;3;0.36;2.56;0.02;0.17
558;"Rodrigo Ribeiro";"Nottingham Forest";4;11;0;0;0;0;0;0
559;"Oliver Arblaster";"Sheffield United";12;954;0;0;0.02;1.03;0;0.1
560;"Jayden Danns";"Liverpool";2;6;0;0;0;0;0;0
561;"Sam Curtis";"Sheffield United";1;24;0;0;0;0;0;0
562;"Jimi Tauriainen";"Chelsea";1;1;0;0;0;0;0;0
563;"Valentín Barco";"Brighton";6;299;0;0;0.31;0.31;0.09;0.09
564;"Daiki Hashioka";"Luton";10;583;0;0;0.1;0.52;0.02;0.08
565;"Leon Chiwome";"Wolverhampton Wanderers";3;178;0;0;0.14;0;0.07;0
566;"Josh Acheampong";"Chelsea";1;1;0;0;0;0;0;0
567;"Fred Onyedinma";"Luton";8;419;0;0;0.18;0.13;0.04;0.03
568;"Ethan Wheatley";"Manchester United";3;9;0;0;0;0;0;0
569;"Finley Munroe";"Aston Villa";1;1;0;0;0;0;0;0
570;"Mikey Moore";"Tottenham";2;2;0;0;0;0;0;0
