"number";"player";"team";"apps";"min";"goals";"a";"xG";"xA";"xG90";"xA90"
384;"Patrick Cutrone";"Wolverhampton Wanderers";2;21;0;0;0.07;0;0.31;0
385;"Kepa";"Chelsea";7;582;0;0;0;0;0;0
386;"Bernardo";"Brighton";3;201;0;0;0.32;0.17;0.14;0.08
387;"Naby Keita";"Liverpool";10;525;0;0;0.39;0.91;0.07;0.16
388;"Michael Hector";"Fulham";4;266;0;0;0.09;0.02;0.03;0.01
389;"Nick Pope";"Burnley";32;2880;0;0;0;0.09;0;0
390;"Rekeem Harper";"West Bromwich Albion";2;27;0;0;0.03;0;0.1;0
391;"Rhian Brewster";"Sheffield United";27;1102;0;0;1.93;1.77;0.16;0.14
392;"Tosin Adarabioyo";"Fulham";33;2955;0;0;1.56;0.31;0.05;0.01
393;"Aaron Ramsdale";"Sheffield United";38;3420;0;0;0;0.08;0;0
394;"Fernando Marçal";"Wolverhampton Wanderers";13;611;0;0;0.07;0.14;0.01;0.02
395;"Kenny Tete";"Fulham";22;1483;0;1;0.21;0.91;0.01;0.06
396;"Charlie Taylor";"Burnley";29;2430;0;1;0.11;1.59;0;0.06
397;"Davy Pröpper";"Brighton";7;201;0;0;0.14;0;0.06;0
398;"Dale Stephens";"Burnley";7;258;0;0;0.08;0;0.03;0
399;"Ederson";"Manchester City";36;3240;0;1;0;0.3;0;0.01
400;"Isaac Hayden";"Newcastle United";24;1946;0;0;0.61;0.24;0.03;0.01
401;"Terence Kongolo";"Fulham";1;90;0;0;0;0;0;0
402;"Douglas Luiz";"Aston Villa";33;2807;0;2;1.32;2.42;0.04;0.08
403;"Cengiz Ünder";"Leicester";9;259;0;2;0.25;1.66;0.09;0.58
404;"José Izquierdo";"Brighton";1;7;0;0;0.02;0;0.22;0
405;"Davinson Sánchez";"Tottenham";18;1488;0;0;0.8;0.02;0.05;0
406;"Robin Koch";"Leeds";17;1124;0;0;0.51;0.13;0.04;0.01
407;"Andriy Yarmolenko";"West Ham";15;343;0;1;0.31;0.78;0.08;0.21
408;"Jayson Molumby";"Brighton";1;1;0;0;0;0;0;0
409;"Ethan Ampadu";"Sheffield United";25;2095;0;0;0.19;0.98;0.01;0.04
410;"Joe Rodon";"Tottenham";12;730;0;0;0.02;0;0;0
411;"Hamza Choudhury";"Leicester";10;312;0;0;0.45;0;0.13;0
412;"Franck Zambo";"Fulham";36;2582;0;3;1.44;2.3;0.05;0.08
413;"Cenk Tosun";"Everton";5;37;0;0;0;0.07;0;0.18
414;"Reiss Nelson";"Arsenal";2;59;0;0;0.06;0;0.09;0
415;"Michael Obafemi";"Southampton";4;52;0;0;0;0.05;0;0.1
416;"Martin Dubravka";"Newcastle United";13;1170;0;0;0;0;0;0
417;"Ibrahima Diallo";"Southampton";22;999;0;0;0.61;0.64;0.05;0.06
